ID,TITLE,LOCATION,SKILLS,DATE
52545083,[글로벌/iGaming] Payment Backend Engineer (Python),서울 강남구,"Java,백엔드/서버개발,게임개발,게임기획·마케팅,게임",~ 12/26(금)
51438642,제주 드림타워 복합리조트 [카지노&호텔] 대규모 신입/경력 공채,제주 제주시,"카지노,레저,출납,사무직,문서작성",~ 12/31(수)
52449398,2025년 4분기 분야별 공개채용,전국,"건설회사,건설현장,건축,데이터엔지니어,백엔드/서버개발",~ 12/31(수)
52626458,[오리온] 청주공장 생산직 사원 채용,충북 청주시 흥덕구,"식품가공,제과제빵,기계조작원,단순생산직,생산관리",~ 01/11(일)
52457546,바이오플러스㈜ 2025년 하반기 각 부문별 수시채용,경기 성남시 중원구,"바이오,백엔드/서버개발,보안컨설팅,유지보수,정보보안",~ 12/31(수)
52433261,2025년 하반기 각 부문별 신입/경력 채용공고,서울전체,"가구,채용담당자,ER(노무관리),HR컨설팅,HRD",~ 12/31(수)
52567598,2026 상반기 노디너리 신입/경력 채용공고,경기 화성시,"화공,전산회계,더존,관리회계,기업회계",~ 12/29(월)
52625606,(주)견우푸드 신입/경력 정규직 채용,경기 광주시,"식품가공,유지보수,네트워크,API,ERP",~ 01/20(화)
52426411,㈜우진플라임 부문별 인재채용,충북 보은군,"기계,기계설비,기계설계,게임개발,데이터분석가",~ 12/31(수)
52398798,2025년도 하반기 신입(인턴) 및 경력사원 채용,서울 성동구,"화장품,뷰티,모델링,경리,경리사무원",~ 01/16(금)
52528719,동서식품 창원공장 생산직 근무자 채용,경남 창원시,"식음료,단순생산직,제조가공",~ 12/28(일)
52230976,㈜아모텍 2025년 하반기 신입/경력 수시채용,서울 서초구,"기구설계,전기,회로설계,유지보수,인프라",~ 12/31(수)
52582710,25년 12월 각 부문별 신입/경력사원 채용,서울 마포구,"전자,백엔드/서버개발,앱개발,웹개발,유지보수",~ 12/29(월)
51951354,2025년 해커스 교육그룹 [신입/경력] 각 부문별 채용공고,서울 서초구,"어학원,유학원,백엔드/서버개발,앱개발,웹개발",~ 12/31(수)
52532254,㈜한국애보트진단 신입/경력사원 공개채용,경기 용인시 기흥구,"의약·제약,의료·보건,바이오,생명공학,관리회계",~ 12/25(목)
52582307,2025년 영업/학술/CSO영업관리 신입 및 경력 채용공고,서울전체,"의약·제약,손익관리,재무회계,회계결산,사무직",~ 12/31(수)
51953338,㈜위즈코리아 '25년 하반기 신입/경력 사원 모집,서울 강서구,"소프트웨어개발,백엔드/서버개발,웹개발,정보보안,퍼블리셔",~ 12/31(수)
52410797,2026년 ㈜ 스텍 상반기 관리직 대규모 채용 공고 안내(서울/천안),서울 구로구,"제조업 회사본사,ERP,S/W,SAP,Angular",~ 12/26(금)
52588973,㈜켐트로닉스 반도체소재사업부문 신입/경력직 채용,경기 평택시,"전자,석유화학,화학,기계조작원,단순생산직",~ 12/31(수)
52530027,"[삼기&삼기에너지솔루션즈] 일반직군, 기술직군 신입 및 경력사원 모집",충남 서산시,"기계,자동차,C++,C언어,Matlab",~ 12/31(수)
52455537,[사세확장] 각 부서별 정규직 채용,경기 김포시,"네트웍구축,통신,모바일,웹개발,네트워크",~ 12/31(수)
52588094,비즈니스온커뮤니케이션 풀스택 개발자 채용,서울 강남구,"Java,백엔드/서버개발,프론트엔드,솔루션,SI·시스템통합",~ 01/16(금)
52409786,모바일 개발 담당자,서울 강남구,"Android,앱개발,iOS,소프트웨어개발",~ 12/25(목)
52405090,백엔드 개발자(1~3년),서울 강서구,"앱개발,백엔드/서버개발,웹개발",~ 12/26(금)
52592356,JAVA 개발자 채용[3~5년],서울 강남구,"백엔드/서버개발,SI·시스템통합,시스템관리,소프트웨어개발",~ 01/16(금)
52612020,[일본:누구(nugu)] BE엔지니어,서울 강남구,"백엔드/서버개발,식품가공",~ 01/19(월)
52348753,[경력] 백엔드 개발자 채용,서울 금천구,"Java,백엔드/서버개발,MariaDB,RestAPI,Spring",~ 12/31(수)
52510938,[엔키화이트햇] RedOps팀 : 화이트해커 부문별 채용,서울 송파구,"네트워크,모의해킹,방화벽,악성코드,인프라",채용시
52444212,[대전/서울] 모바일 앱(Flutter) 개발자 채용(신입/경력 무관),대전 유성구,"앱개발,소프트웨어개발",~ 01/30(금)
52569289,시니어 백엔드 개발–데이터스페이스,서울 금천구,"백엔드/서버개발,소프트웨어개발",~ 01/13(화)
52383215,Runtime 소프트웨어 엔지니어 (신입),서울 강남구,"SE(시스템엔지니어),솔루션,S/W,SI·시스템통합",오늘마감
52582765,프론트엔드 개발자,서울 서초구,"프론트엔드,솔루션업체",~ 01/14(수)
52387982,안드로이드 개발자 신입,서울 관악구,"앱개발,안드로이드",오늘마감
52469474,Backend 엔지니어(3년이상) [티켓베이],서울 강남구,"Java,백엔드/서버개발,Docker,Kafka,Kubernetes",~ 01/01(목)
52357905,"[SV그룹] AOS, iOS, Backend, Web Developer 시니어/주니어 모집",서울 영등포구,"앱개발,웹개발,웹마스터,알고리즘,SI·시스템통합",~ 01/19(월)
52635899,[글로벌 앱 플랫폼] 날씨 앱 Back-end 개발자 (3년 이상),서울 구로구,"Java,Android,앱개발,백엔드/서버개발,iOS",~ 01/22(목)
52572041,풀스택 중급 개발자,서울 강남구,"웹개발,풀스택",~ 01/13(화)
52614030,Flutter 모바일 앱 개발자,서울 강남구,"영상처리,Flutter,WebRTC,rtsp,블랙박스",~ 01/03(토)
52490826,Java 기반 서비스 개발자,서울 구로구,"백엔드/서버개발,웹개발,SI·시스템통합,시스템관리,솔루션업체",~ 01/04(일)
52398235,BackEnd Engineer 채용,서울 강남구,"백엔드/서버개발,웹개발,솔루션업체",상시채용
52415858,[VUS] 브이유에스 플랫폼 개발 사원 모집,서울 마포구,"앱개발,백엔드/서버개발,웹개발,데이터분석가,개발PM",~ 12/27(토)
52428208,모바일(iOS & Android) 개발 [신입],서울 강남구,"앱개발,화학",~ 12/28(일)
52440782,[스마트푸드네트웍스]시니어 백엔드 개발자 채용,서울 강남구,"백엔드/서버개발,물류업,물류센터",~ 12/31(수)
52533653,[데버㈜] IT 서비스 개발자(Native App) 정규직 채용(경력자),서울 성동구,"Android,iOS,Flutter,SI·시스템통합,ERP",~ 01/09(금)
